,age,ed,employ,address,income,debtinc,creddebt,othdebt,default
700,36,1,16,13,32,10.9,0.544128,2.943872,
701,50,1,6,27,21,12.9,1.316574,1.392426,
702,40,1,9,9,33,17.0,4.8807,0.7293,
703,31,1,5,7,23,2.0,0.046,0.414,
704,29,1,4,0,24,7.8,0.866736,1.005264,
705,25,2,1,3,14,9.9,0.232848,1.153152,
706,34,1,4,3,28,9.4,1.058064,1.573936,
707,50,1,30,8,150,32.5,13.5525,35.1975,
708,27,1,5,5,26,1.2,0.130416,0.181584,
709,31,4,7,12,97,6.0,1.82748,3.99252,
710,45,1,8,25,27,2.6,0.415584,0.286416,
711,35,1,10,8,28,1.3,0.109928,0.254072,
712,47,2,27,7,107,6.1,1.638277,4.888723,
713,50,3,25,7,94,5.3,1.733736,3.248264,
714,37,2,15,11,108,11.8,5.250528,7.493472,
715,46,1,7,6,41,23.4,0.585234,9.008766,
716,26,4,1,5,92,13.0,6.50624,5.45376,
717,33,1,16,12,46,8.1,2.399544,1.326456,
718,43,1,8,0,32,19.0,1.23424,4.84576,
719,49,2,14,26,63,15.8,0.935676,9.018324,
720,44,1,2,15,22,9.6,1.091904,1.020096,
721,32,1,12,10,33,11.2,0.79464,2.90136,
722,38,1,5,4,20,1.5,0.0915,0.2085,
723,52,1,33,23,139,5.6,2.288496,5.495504,
724,35,1,10,3,24,21.3,1.083744,4.028256,
725,33,4,4,12,22,5.5,0.56628,0.64372,
726,35,1,11,12,77,4.7,1.100176,2.518824,
727,34,2,9,3,40,1.6,0.37376,0.26624,
728,39,1,19,16,53,3.7,0.190217,1.770783,
729,31,1,8,4,27,5.4,0.673596,0.784404,
730,37,1,5,11,27,9.4,0.41877,2.11923,
731,44,1,19,9,40,10.9,0.34444,4.01556,
732,30,1,1,1,27,12.3,1.275264,2.045736,
733,37,1,18,9,58,10.3,2.86752,3.10648,
734,35,1,11,9,40,2.9,0.57188,0.58812,
735,43,1,4,11,26,7.1,0.751322,1.094678,
736,26,1,0,5,17,5.0,0.14195,0.70805,
737,35,1,13,4,42,17.6,0.768768,6.623232,
738,24,1,4,0,19,11.0,1.18503,0.90497,
739,24,1,4,1,23,4.9,0.242305,0.884695,
740,26,3,3,1,40,10.8,1.89648,2.42352,
741,34,1,10,12,48,5.1,0.264384,2.183616,
742,44,4,18,23,78,1.0,0.56472,0.21528,
743,46,1,9,6,72,5.0,0.828,2.772,
744,40,1,17,5,55,11.4,2.12553,4.14447,
745,37,4,2,1,29,15.4,2.782318,1.683682,
746,35,3,5,13,30,10.6,1.5264,1.6536,
747,46,2,18,18,55,4.4,0.41866,2.00134,
748,40,3,5,18,28,10.0,1.2628,1.5372,
749,48,2,21,14,86,1.2,0.145512,0.886488,
750,53,1,33,25,324,7.0,7.05348,15.62652,
751,45,3,9,0,84,13.1,1.276464,9.727536,
752,32,3,6,12,22,6.7,0.384714,1.089286,
753,43,1,15,21,62,9.4,0.693532,5.134468,
754,29,2,3,9,32,9.0,1.07136,1.80864,
755,47,2,7,24,49,0.9,0.253575,0.187425,
756,21,2,1,0,17,10.5,0.555135,1.229865,
757,30,1,0,2,20,5.4,0.62208,0.45792,
758,25,3,3,2,54,7.4,1.162836,2.833164,
759,27,1,6,2,52,13.8,1.90164,5.27436,
760,36,1,4,17,25,4.0,0.144,0.856,
761,35,1,12,3,30,15.4,1.89882,2.72118,
762,33,1,11,6,35,15.9,0.506415,5.058585,
763,21,3,0,1,41,19.5,2.36652,5.62848,
764,44,1,18,0,61,10.8,2.806488,3.781512,
765,37,1,19,7,38,13.5,2.59065,2.53935,
766,27,1,5,7,26,6.8,0.54808,1.21992,
767,37,2,11,11,47,9.6,1.597248,2.914752,
768,48,2,9,22,44,5.9,2.133912,0.462088,
769,30,1,4,2,21,3.5,0.228585,0.506415,
770,22,4,0,1,25,12.2,1.49145,1.55855,
771,39,2,18,18,47,7.6,1.564536,2.007464,
772,26,1,5,6,18,15.5,0.57474,2.21526,
773,29,2,9,8,30,21.7,3.6456,2.8644,
774,47,1,29,20,169,2.2,0.349492,3.368508,
775,33,2,5,2,37,8.4,1.028748,2.079252,
776,23,2,2,2,48,7.5,0.5112,3.0888,
777,25,2,5,5,35,16.5,1.969275,3.805725,
778,34,1,4,6,23,5.6,0.616952,0.671048,
779,56,1,19,26,66,3.3,0.847242,1.330758,
780,32,1,7,10,23,9.8,0.861028,1.392972,
781,27,3,0,4,50,14.7,1.0437,6.3063,
782,41,2,6,7,36,13.9,1.486188,3.517812,
783,30,1,8,11,27,20.3,3.743523,1.737477,
784,38,4,13,2,126,13.7,7.612542,9.649458,
785,31,1,6,1,45,7.3,0.58473,2.70027,
786,37,3,16,8,75,0.1,0.02205,0.05295,
787,30,2,2,2,26,3.8,0.248976,0.739024,
788,44,2,8,18,43,5.0,0.5547,1.5953,
789,25,2,5,3,42,15.5,3.36567,3.14433,
790,33,2,10,2,54,3.0,0.11988,1.50012,
791,25,1,3,5,31,8.1,0.881361,1.629639,
792,45,1,14,26,46,5.1,1.262148,1.083852,
793,23,1,6,2,15,12.7,1.37541,0.52959,
794,43,1,24,22,254,7.7,7.001764,12.556236,
